LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,03-Jan-2002 11:14:39,0                 
Time,Ampl
-0.0050000334,-0.00928087
-0.0049999334,-0.0110486
-0.0049998334,-0.0114906
-0.0049997334,-0.0114906
-0.0049996334,-0.0106067
-0.0049995334,-0.0119325
-0.0049994334,-0.0119325
-0.0049993334,-0.0114906
-0.0049992334,-0.0114906
-0.0049991334,-0.0114906
-0.0049990334,-0.0114906
-0.0049989334,-0.0114906
-0.0049988334,-0.0114906
-0.0049987334,-0.0110486
-0.0049986334,-0.0110486
-0.0049985334,-0.0119325
-0.0049984334,-0.0114906
-0.0049983334,-0.0119325
-0.0049982334,-0.0119325
-0.0049981334,-0.0119325
-0.0049980334,-0.0119325
-0.0049979334,-0.0137003
-0.0049978334,-0.0114906
-0.0049977334,-0.0132584
-0.0049976334,-0.0128164
-0.0049975334,-0.0128164
-0.0049974334,-0.0128164
-0.0049973334,-0.0137003
-0.0049972334,-0.0128164
-0.0049971334,-0.0137003
-0.0049970334,-0.0123745
-0.0049969334,-0.0128164
-0.0049968334,-0.0128164
-0.0049967334,-0.0128164
-0.0049966334,-0.0123745
-0.0049965334,-0.0141423
-0.0049964334,-0.0137003
-0.0049963334,-0.0132584
-0.0049962334,-0.0141423
-0.0049961334,-0.0137003
-0.0049960334,-0.0137003
-0.0049959334,-0.0137003
-0.0049958334,-0.0132584
-0.0049957334,-0.0141423
-0.0049956334,-0.0137003
-0.0049955334,-0.0137003
-0.0049954334,-0.0137003
-0.0049953334,-0.0150262
-0.0049952334,-0.0137003
-0.0049951334,-0.0145842
-0.0049950334,-0.0132584
-0.0049949334,-0.0150262
-0.0049948334,-0.0137003
-0.0049947334,-0.0145842
-0.0049946334,-0.0132584
-0.0049945334,-0.0141423
-0.0049944334,-0.0150262
-0.0049943334,-0.0154681
-0.0049942334,-0.0137003
-0.0049941334,-0.0159101
-0.0049940334,-0.0137003
-0.0049939334,-0.0150262
-0.0049938334,-0.0150262
-0.0049937334,-0.0141423
-0.0049936334,-0.0145842
-0.0049935334,-0.0154681
-0.0049934334,-0.0154681
-0.0049933334,-0.0150262
-0.0049932334,-0.0145842
-0.0049931334,-0.0154681
-0.0049930334,-0.0150262
-0.0049929334,-0.0154681
-0.0049928334,-0.0145842
-0.0049927334,-0.0154681
-0.0049926334,-0.0159101
-0.0049925334,-0.0154681
-0.0049924334,-0.0145842
-0.0049923334,-0.016352
-0.0049922334,-0.0167939
-0.0049921334,-0.016352
-0.0049920334,-0.0154681
-0.0049919334,-0.016352
-0.0049918334,-0.0154681
-0.0049917334,-0.016352
-0.0049916334,-0.0159101
-0.0049915334,-0.0154681
-0.0049914334,-0.016352
-0.0049913334,-0.0159101
-0.0049912334,-0.0154681
-0.0049911334,-0.0167939
-0.0049910334,-0.0154681
-0.0049909334,-0.016352
-0.0049908334,-0.0159101
-0.0049907334,-0.0172359
-0.0049906334,-0.0154681
-0.0049905334,-0.016352
-0.0049904334,-0.016352
-0.0049903334,-0.0159101
-0.0049902334,-0.0172359
-0.0049901334,-0.0176778
-0.0049900334,-0.0150262
-0.0049899334,-0.0167939
-0.0049898334,-0.0172359
-0.0049897334,-0.0172359
-0.0049896334,-0.0159101
-0.0049895334,-0.0154681
-0.0049894334,-0.0159101
-0.0049893334,-0.0167939
-0.0049892334,-0.0159101
-0.0049891334,-0.0167939
-0.0049890334,-0.0167939
-0.0049889334,-0.0167939
-0.0049888334,-0.016352
-0.0049887334,-0.0172359
-0.0049886334,-0.0172359
-0.0049885334,-0.0176778
-0.0049884334,-0.0167939
-0.0049883334,-0.0176778
-0.0049882334,-0.016352
-0.0049881334,-0.0176778
-0.0049880334,-0.0167939
-0.0049879334,-0.016352
-0.0049878334,-0.0172359
-0.0049877334,-0.0176778
-0.0049876334,-0.0167939
-0.0049875334,-0.0172359
-0.0049874334,-0.0176778
-0.0049873334,-0.0172359
-0.0049872334,-0.0167939
-0.0049871334,-0.0167939
-0.0049870334,-0.016352
-0.0049869334,-0.0185617
-0.0049868334,-0.0172359
-0.0049867334,-0.016352
-0.0049866334,-0.0176778
-0.0049865334,-0.0176778
-0.0049864334,-0.0172359
-0.0049863334,-0.0181198
-0.0049862334,-0.0172359
-0.0049861334,-0.0185617
-0.0049860334,-0.0167939
-0.0049859334,-0.0176778
-0.0049858334,-0.0167939
-0.0049857334,-0.0176778
-0.0049856334,-0.0176778
-0.0049855334,-0.0172359
-0.0049854334,-0.0176778
-0.0049853334,-0.0176778
-0.0049852334,-0.0167939
-0.0049851334,-0.0167939
-0.0049850334,-0.0167939
-0.0049849334,-0.016352
-0.0049848334,-0.0167939
-0.0049847334,-0.0172359
-0.0049846334,-0.0181198
-0.0049845334,-0.0176778
-0.0049844334,-0.0181198
-0.0049843334,-0.0167939
-0.0049842334,-0.0172359
-0.0049841334,-0.0167939
-0.0049840334,-0.016352
-0.0049839334,-0.0167939
-0.0049838334,-0.0159101
-0.0049837334,-0.0172359
-0.0049836334,-0.0172359
-0.0049835334,-0.0167939
-0.0049834334,-0.0167939
-0.0049833334,-0.0176778
-0.0049832334,-0.0172359
-0.0049831334,-0.0167939
-0.0049830334,-0.0167939
-0.0049829334,-0.0176778
-0.0049828334,-0.0167939
-0.0049827334,-0.0172359
-0.0049826334,-0.0167939
-0.0049825334,-0.016352
-0.0049824334,-0.016352
-0.0049823334,-0.0176778
-0.0049822334,-0.0159101
-0.0049821334,-0.0172359
-0.0049820334,-0.0167939
-0.0049819334,-0.0167939
-0.0049818334,-0.0167939
-0.0049817334,-0.0176778
-0.0049816334,-0.0167939
-0.0049815334,-0.0172359
-0.0049814334,-0.0176778
-0.0049813334,-0.016352
-0.0049812334,-0.0167939
-0.0049811334,-0.0167939
-0.0049810334,-0.0172359
-0.0049809334,-0.0167939
-0.0049808334,-0.0167939
-0.0049807334,-0.016352
-0.0049806334,-0.0167939
-0.0049805334,-0.0176778
-0.0049804334,-0.0159101
-0.0049803334,-0.0172359
-0.0049802334,-0.0167939
-0.0049801334,-0.0176778
-0.0049800334,-0.0167939
-0.0049799334,-0.0167939
-0.0049798334,-0.0154681
-0.0049797334,-0.0176778
-0.0049796334,-0.0167939
-0.0049795334,-0.016352
-0.0049794334,-0.0172359
-0.0049793334,-0.0167939
-0.0049792334,-0.0154681
-0.0049791334,-0.016352
-0.0049790334,-0.0159101
-0.0049789334,-0.0159101
-0.0049788334,-0.016352
-0.0049787334,-0.016352
-0.0049786334,-0.016352
-0.0049785334,-0.016352
-0.0049784334,-0.0159101
-0.0049783334,-0.0159101
-0.0049782334,-0.0154681
-0.0049781334,-0.0159101
-0.0049780334,-0.0154681
-0.0049779334,-0.016352
-0.0049778334,-0.0159101
-0.0049777334,-0.0150262
-0.0049776334,-0.0159101
-0.0049775334,-0.0159101
-0.0049774334,-0.0150262
-0.0049773334,-0.016352
-0.0049772334,-0.0154681
-0.0049771334,-0.0154681
-0.0049770334,-0.0154681
-0.0049769334,-0.0154681
-0.0049768334,-0.0145842
-0.0049767334,-0.0159101
-0.0049766334,-0.0145842
-0.0049765334,-0.0150262
-0.0049764334,-0.0159101
-0.0049763334,-0.0145842
-0.0049762334,-0.0150262
-0.0049761334,-0.0154681
-0.0049760334,-0.0145842
-0.0049759334,-0.0145842
-0.0049758334,-0.0145842
-0.0049757334,-0.0154681
-0.0049756334,-0.0137003
-0.0049755334,-0.0154681
-0.0049754334,-0.0141423
-0.0049753334,-0.0145842
-0.0049752334,-0.0128164
-0.0049751334,-0.0145842
-0.0049750334,-0.0141423
-0.0049749334,-0.0154681
-0.0049748334,-0.0141423
-0.0049747334,-0.0137003
-0.0049746334,-0.0145842
-0.0049745334,-0.0150262
-0.0049744334,-0.0137003
-0.0049743334,-0.0145842
-0.0049742334,-0.0141423
-0.0049741334,-0.0141423
-0.0049740334,-0.0137003
-0.0049739334,-0.0141423
-0.0049738334,-0.0128164
-0.0049737334,-0.0137003
-0.0049736334,-0.0128164
-0.0049735334,-0.0137003
-0.0049734334,-0.0128164
-0.0049733334,-0.0145842
-0.0049732334,-0.0123745
-0.0049731334,-0.0137003
-0.0049730334,-0.0123745
-0.0049729334,-0.0132584
-0.0049728334,-0.0128164
-0.0049727334,-0.0128164
-0.0049726334,-0.0123745
-0.0049725334,-0.0132584
-0.0049724334,-0.0123745
-0.0049723334,-0.0128164
-0.0049722334,-0.0123745
-0.0049721334,-0.0123745
-0.0049720334,-0.0110486
-0.0049719334,-0.0119325
-0.0049718334,-0.0119325
-0.0049717334,-0.0119325
-0.0049716334,-0.0123745
-0.0049715334,-0.0128164
-0.0049714334,-0.0110486
-0.0049713334,-0.0114906
-0.0049712334,-0.0114906
-0.0049711334,-0.0106067
-0.0049710334,-0.0106067
-0.0049709334,-0.0119325
-0.0049708334,-0.0110486
-0.0049707334,-0.0123745
-0.0049706334,-0.0110486
-0.0049705334,-0.0114906
-0.0049704334,-0.0110486
-0.0049703334,-0.0114906
-0.0049702334,-0.0114906
-0.0049701334,-0.0110486
-0.0049700334,-0.0106067
-0.0049699334,-0.0110486
-0.0049698334,-0.0106067
-0.0049697334,-0.0101648
-0.0049696334,-0.0106067
-0.0049695334,-0.0101648
-0.0049694334,-0.00928087
-0.0049693334,-0.0101648
-0.0049692334,-0.0101648
-0.0049691334,-0.0106067
-0.0049690334,-0.00928087
-0.0049689334,-0.0101648
-0.0049688334,-0.0101648
-0.0049687334,-0.0106067
-0.0049686334,-0.00883892
-0.0049685334,-0.00972281
-0.0049684334,-0.00883892
-0.0049683334,-0.00972281
-0.0049682334,-0.00928087
-0.0049681334,-0.00928087
-0.0049680334,-0.00795503
-0.0049679334,-0.00928087
-0.0049678334,-0.00839697
-0.0049677334,-0.00928087
-0.0049676334,-0.00839697
-0.0049675334,-0.00795503
-0.0049674334,-0.00839697
-0.0049673334,-0.00795503
-0.0049672334,-0.00751308
-0.0049671334,-0.00839697
-0.0049670334,-0.00795503
-0.0049669334,-0.00795503
-0.0049668334,-0.00751308
-0.0049667334,-0.00795503
-0.0049666334,-0.00707114
-0.0049665334,-0.00751308
-0.0049664334,-0.00751308
-0.0049663334,-0.00707114
-0.0049662334,-0.00751308
-0.0049661334,-0.00707114
-0.0049660334,-0.00618724
-0.0049659334,-0.00751308
-0.0049658334,-0.00662919
-0.0049657334,-0.00707114
-0.0049656334,-0.00662919
-0.0049655334,-0.00662919
-0.0049654334,-0.00751308
-0.0049653334,-0.00662919
-0.0049652334,-0.00530335
-0.0049651334,-0.00662919
-0.0049650334,-0.00530335
-0.0049649334,-0.00618724
-0.0049648334,-0.00530335
-0.0049647334,-0.0057453
-0.0049646334,-0.00530335
-0.0049645334,-0.00618724
-0.0049644334,-0.00530335
-0.0049643334,-0.00530335
-0.0049642334,-0.00530335
-0.0049641334,-0.00486141
-0.0049640334,-0.00486141
-0.0049639334,-0.00486141
-0.0049638334,-0.00530335
-0.0049637334,-0.00486141
-0.0049636334,-0.00441946
-0.0049635334,-0.00486141
-0.0049634334,-0.00486141
-0.0049633334,-0.00441946
-0.0049632334,-0.00441946
-0.0049631334,-0.00397751
-0.0049630334,-0.00353557
-0.0049629334,-0.00441946
-0.0049628334,-0.00441946
-0.0049627334,-0.00397751
-0.0049626334,-0.00441946
-0.0049625334,-0.00309362
-0.0049624334,-0.00309362
-0.0049623334,-0.00441946
-0.0049622334,-0.00309362
-0.0049621334,-0.00265168
-0.0049620334,-0.00309362
-0.0049619334,-0.00309362
-0.0049618334,-0.00265168
-0.0049617334,-0.00265168
-0.0049616334,-0.00220973
-0.0049615334,-0.00220973
-0.0049614334,-0.00220973
-0.0049613334,-0.00176778
-0.0049612334,-0.00176778
-0.0049611334,-0.00309362
-0.0049610334,-0.000441946
-0.0049609334,-0.00132584
-0.0049608334,-0.00220973
-0.0049607334,-0.00132584
-0.0049606334,-0.000883892
-0.0049605334,-0.00132584
-0.0049604334,-0.00176778
-0.0049603334,-0.000883892
-0.0049602334,-0.000883892
-0.0049601334,-0.000883892
-0.0049600334,-0.00132584
-0.0049599334,-0.00132584
-0.0049598334,0.000441946
-0.0049597334,-0.000883892
-0.0049596334,-0.000883892
-0.0049595334,0
-0.0049594334,-0.000883892
-0.0049593334,-0.000883892
-0.0049592334,0
-0.0049591334,0
-0.0049590334,0.00132584
-0.0049589334,0.000441946
-0.0049588334,-0.000441946
-0.0049587334,0.000441946
-0.0049586334,0.000441946
-0.0049585334,0
-0.0049584334,-0.000441946
-0.0049583334,0.000441946
-0.0049582334,0.000441946
-0.0049581334,0
-0.0049580334,0.000441946
-0.0049579334,0.000883892
-0.0049578334,0.000441946
-0.0049577334,0.000883892
-0.0049576334,0.00132584
-0.0049575334,0.000883892
-0.0049574334,0.000883892
-0.0049573334,0.000441946
-0.0049572334,0.00176778
-0.0049571334,0.00132584
-0.0049570334,0.00132584
-0.0049569334,0.000883892
-0.0049568334,0.00132584
-0.0049567334,0.00220973
-0.0049566334,0.00220973
-0.0049565334,0.000883892
