LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,04-Jan-2002 05:26:56,0                 
Time,Ampl
-0.0025000213,-0.0662919
-0.0024999713,-0.0618724
-0.0024999213,-0.0640822
-0.0024998713,-0.0618724
-0.0024998213,-0.0662919
-0.0024997713,-0.0618724
-0.0024997213,-0.0618724
-0.0024996713,-0.0640822
-0.0024996213,-0.0662919
-0.0024995713,-0.0618724
-0.0024995213,-0.0662919
-0.0024994713,-0.0618724
-0.0024994213,-0.0640822
-0.0024993713,-0.0640822
-0.0024993213,-0.0640822
-0.0024992713,-0.0640822
-0.0024992213,-0.0662919
-0.0024991713,-0.0640822
-0.0024991213,-0.0662919
-0.0024990713,-0.0662919
-0.0024990213,-0.0618724
-0.0024989713,-0.0618724
-0.0024989213,-0.0640822
-0.0024988713,-0.0640822
-0.0024988213,-0.0662919
-0.0024987713,-0.0618724
-0.0024987213,-0.0685016
-0.0024986713,-0.0618724
-0.0024986213,-0.0662919
-0.0024985713,-0.0662919
-0.0024985213,-0.0707114
-0.0024984713,-0.0640822
-0.0024984213,-0.0662919
-0.0024983713,-0.0640822
-0.0024983213,-0.0662919
-0.0024982713,-0.0662919
-0.0024982213,-0.0640822
-0.0024981713,-0.0640822
-0.0024981213,-0.0618724
-0.0024980713,-0.0707114
-0.0024980213,-0.0685016
-0.0024979713,-0.0662919
-0.0024979213,-0.0685016
-0.0024978713,-0.0662919
-0.0024978213,-0.0685016
-0.0024977713,-0.0618724
-0.0024977213,-0.0640822
-0.0024976713,-0.0685016
-0.0024976213,-0.0662919
-0.0024975713,-0.0662919
-0.0024975213,-0.0640822
-0.0024974713,-0.0685016
-0.0024974213,-0.0707114
-0.0024973713,-0.0640822
-0.0024973213,-0.0662919
-0.0024972713,-0.0707114
-0.0024972213,-0.0662919
-0.0024971713,-0.0662919
-0.0024971213,-0.0685016
-0.0024970713,-0.0662919
-0.0024970213,-0.0685016
-0.0024969713,-0.0640822
-0.0024969213,-0.0662919
-0.0024968713,-0.0662919
-0.0024968213,-0.0685016
-0.0024967713,-0.0640822
-0.0024967213,-0.0662919
-0.0024966713,-0.0707114
-0.0024966213,-0.0707114
-0.0024965713,-0.0662919
-0.0024965213,-0.0685016
-0.0024964713,-0.0685016
-0.0024964213,-0.0662919
-0.0024963713,-0.0729211
-0.0024963213,-0.0685016
-0.0024962713,-0.0662919
-0.0024962213,-0.0662919
-0.0024961713,-0.0685016
-0.0024961213,-0.0662919
-0.0024960713,-0.0685016
-0.0024960213,-0.0662919
-0.0024959713,-0.0662919
-0.0024959213,-0.0707114
-0.0024958713,-0.0662919
-0.0024958213,-0.0640822
-0.0024957713,-0.0685016
-0.0024957213,-0.0640822
-0.0024956713,-0.0662919
-0.0024956213,-0.0685016
-0.0024955713,-0.0707114
-0.0024955213,-0.0662919
-0.0024954713,-0.0685016
-0.0024954213,-0.0685016
-0.0024953713,-0.0662919
-0.0024953213,-0.0685016
-0.0024952713,-0.0685016
-0.0024952213,-0.0685016
-0.0024951713,-0.0662919
-0.0024951213,-0.0707114
-0.0024950713,-0.0662919
-0.0024950213,-0.0685016
-0.0024949713,-0.0707114
-0.0024949213,-0.0685016
-0.0024948713,-0.0685016
-0.0024948213,-0.0685016
-0.0024947713,-0.0685016
-0.0024947213,-0.0707114
-0.0024946713,-0.0707114
-0.0024946213,-0.0685016
-0.0024945713,-0.0729211
-0.0024945213,-0.0685016
-0.0024944713,-0.0662919
-0.0024944213,-0.0685016
-0.0024943713,-0.0685016
-0.0024943213,-0.0685016
-0.0024942713,-0.0729211
-0.0024942213,-0.0707114
-0.0024941713,-0.0707114
-0.0024941213,-0.0707114
-0.0024940713,-0.0685016
-0.0024940213,-0.0729211
-0.0024939713,-0.0662919
-0.0024939213,-0.0685016
-0.0024938713,-0.0707114
-0.0024938213,-0.0729211
-0.0024937713,-0.0707114
-0.0024937213,-0.0707114
-0.0024936713,-0.0707114
-0.0024936213,-0.0685016
-0.0024935713,-0.0707114
-0.0024935213,-0.0751308
-0.0024934713,-0.0707114
-0.0024934213,-0.0662919
-0.0024933713,-0.0729211
-0.0024933213,-0.0685016
-0.0024932713,-0.0707114
-0.0024932213,-0.0729211
-0.0024931713,-0.0685016
-0.0024931213,-0.0729211
-0.0024930713,-0.0751308
-0.0024930213,-0.0707114
-0.0024929713,-0.0707114
-0.0024929213,-0.0707114
-0.0024928713,-0.0707114
-0.0024928213,-0.0729211
-0.0024927713,-0.0729211
-0.0024927213,-0.0729211
-0.0024926713,-0.0729211
-0.0024926213,-0.0751308
-0.0024925713,-0.0707114
-0.0024925213,-0.0729211
-0.0024924713,-0.0751308
-0.0024924213,-0.0707114
-0.0024923713,-0.0707114
-0.0024923213,-0.0707114
-0.0024922713,-0.0685016
-0.0024922213,-0.0729211
-0.0024921713,-0.0707114
-0.0024921213,-0.0685016
-0.0024920713,-0.0707114
-0.0024920213,-0.0707114
-0.0024919713,-0.0729211
-0.0024919213,-0.0729211
-0.0024918713,-0.0729211
-0.0024918213,-0.0707114
-0.0024917713,-0.0729211
-0.0024917213,-0.0707114
-0.0024916713,-0.0707114
-0.0024916213,-0.0751308
-0.0024915713,-0.0729211
-0.0024915213,-0.0751308
-0.0024914713,-0.0685016
-0.0024914213,-0.0729211
-0.0024913713,-0.0707114
-0.0024913213,-0.0707114
-0.0024912713,-0.0729211
-0.0024912213,-0.0707114
-0.0024911713,-0.0729211
-0.0024911213,-0.0751308
-0.0024910713,-0.0707114
-0.0024910213,-0.0729211
-0.0024909713,-0.0729211
-0.0024909213,-0.0773405
-0.0024908713,-0.0751308
-0.0024908213,-0.0707114
-0.0024907713,-0.0729211
-0.0024907213,-0.0795503
-0.0024906713,-0.0729211
